id,l0,l1,l2,l3,l4,l5,l6,l7,l8,l9,l10,l11,l12,l13,l14,l15,l16,l17,l18,l19,y
22,1,5,-1,0,0,0,0,0,-2,0,1,0,0,0,0.0,0.0,0,0,0,0,0
23,1,5,2,2,2,2,2,2,0,2,1,2,2,2,0.0,0.0,2,2,2,2,0
24,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
25,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
26,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
27,2,4,-2,-2,-2,-2,-2,-1,0,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
28,2,6,2,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
29,1,4,0,0,0,0,0,0,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
30,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
31,2,4,2,5,5,5,5,5,4,5,3,5,5,5,0.0,0.0,5,5,5,5,0
32,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
33,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
34,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
35,2,5,2,4,4,4,4,3,2,4,1,4,4,4,0.0,0.0,4,4,4,4,0
36,1,3,-1,-2,-2,-2,-2,-1,0,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
37,2,5,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
38,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
39,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
40,2,6,-2,-1,-1,-1,-1,-2,-2,-1,-2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
41,1,6,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
42,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
43,2,6,2,-1,-1,-1,-1,2,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
44,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0
45,2,4,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
46,1,5,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
47,2,5,0,0,0,0,0,-2,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,1
48,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
49,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
50,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
51,1,5,0,0,0,0,0,0,2,0,2,0,0,0,0.0,0.0,0,0,0,0,0
52,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
53,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
54,2,6,0,-1,-1,-1,-1,-1,0,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
55,2,5,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
56,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
57,2,2,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
58,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
59,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
60,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
61,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
62,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
63,1,4,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
64,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
65,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
66,1,5,2,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,1
67,1,5,2,2,2,2,2,2,0,2,2,2,2,2,0.0,0.0,2,2,2,2,0
68,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
69,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
70,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
71,2,6,-1,-1,-1,-1,-1,0,0,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
72,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
73,2,6,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
74,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
75,1,6,0,0,0,0,0,-1,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,1
76,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
77,2,4,-1,2,2,2,2,-1,0,2,-1,2,2,2,0.0,0.0,2,2,2,2,0
78,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
79,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
80,2,6,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
81,2,6,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
82,1,6,-2,-2,-2,-2,-2,-2,-1,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
83,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
84,2,4,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
85,1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
86,2,5,-1,2,2,2,2,2,2,2,-1,2,2,2,0.0,0.0,2,2,2,2,0
87,2,6,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,1
88,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
89,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
90,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
91,2,5,0,0,0,0,0,-2,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
92,1,4,-1,0,0,0,0,-1,-1,0,1,0,0,0,0.0,0.0,0,0,0,0,0
93,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
94,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
95,1,5,2,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,0
96,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
97,1,5,-1,-1,-1,-1,-1,0,-1,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
98,1,6,0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
99,1,5,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
100,1,6,-1,-1,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
101,2,6,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
102,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
103,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
104,1,5,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,0
105,2,4,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
106,1,5,0,2,2,2,2,2,2,2,0,2,2,2,0.0,0.0,2,2,2,2,1
107,1,6,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
108,2,5,2,0,0,0,0,-1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
109,1,6,-2,-2,-2,-2,-2,-1,-1,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
110,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
111,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
112,1,6,2,-1,-1,-1,-1,2,2,-1,2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
113,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
114,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
115,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
116,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
117,2,6,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,0
118,1,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
119,2,5,-1,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
120,1,5,0,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
121,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
122,1,5,2,0,0,0,0,0,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0
123,2,6,-1,0,0,0,0,0,0,0,-2,0,0,0,0.0,0.0,0,0,0,0,0
124,2,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
125,2,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
126,2,5,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
127,2,5,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
128,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
129,1,5,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
130,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
131,1,4,-1,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
132,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
133,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
134,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
135,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
136,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
137,1,5,2,3,3,3,3,3,3,3,3,3,3,3,0.0,0.0,3,3,3,3,1
138,2,4,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
139,2,6,-1,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
140,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
141,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
142,1,5,0,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
143,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
144,2,5,2,0,0,0,0,2,2,0,1,0,0,0,0.0,0.0,0,0,0,0,0
145,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
146,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
147,2,5,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
148,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
149,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
150,1,5,2,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
151,1,5,-1,-1,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
152,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
153,2,5,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
154,1,6,-2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
155,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
156,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
157,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
158,1,5,2,0,0,0,0,0,2,0,3,0,0,0,0.0,0.0,0,0,0,0,1
159,2,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
160,1,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
161,2,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
162,2,5,0,0,0,0,0,0,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
163,2,5,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
164,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
165,1,4,2,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
166,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
167,2,6,0,-1,-1,-1,-1,-1,-1,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
168,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
169,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
170,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
171,1,4,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
172,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
173,2,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
174,2,5,-1,0,0,0,0,-1,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
175,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
176,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
177,2,5,4,2,2,2,2,0,0,2,5,2,2,2,0.0,0.0,2,2,2,2,1
178,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
179,2,4,-1,-2,-2,-2,-2,-1,-1,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
180,1,5,2,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,0
181,2,5,-1,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
182,2,6,-1,0,0,0,0,0,0,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
183,1,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0
184,2,4,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
185,1,6,2,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,1
186,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
187,2,5,0,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
188,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
189,1,6,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
190,1,5,0,0,0,0,0,-2,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
191,1,6,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
192,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
193,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
194,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
195,1,4,0,0,0,0,0,0,-1,0,0,0,0,0,0.0,0.0,0,0,0,0,1
196,1,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
197,2,6,-1,0,0,0,0,0,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
198,2,4,2,-2,-2,-2,-2,-2,-2,-2,1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,1
199,2,5,0,2,2,2,2,2,2,2,0,2,2,2,0.0,0.0,2,2,2,2,0
200,2,5,0,0,0,0,0,2,0,0,2,0,0,0,0.0,0.0,0,0,0,0,0
201,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
202,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
203,1,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
204,2,6,-1,0,0,0,0,0,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
205,1,4,0,0,0,0,0,-1,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
206,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
207,2,6,-1,-1,-1,-1,-1,-1,-1,-1,2,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
208,2,4,0,-1,-1,-1,-1,0,0,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
209,2,5,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
210,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
211,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
212,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
213,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
214,1,6,0,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
215,2,4,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
216,1,6,2,2,2,2,2,0,0,2,2,2,2,2,0.0,0.0,2,2,2,2,0
217,1,4,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,1
218,2,6,-1,-1,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,1
219,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
220,1,6,2,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0
221,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,1
222,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
223,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
224,2,6,0,0,0,0,0,0,2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
225,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
226,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
227,1,6,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
228,1,6,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,1
229,2,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
230,2,7,-1,2,2,2,2,-1,-1,2,-1,2,2,2,0.0,0.0,2,2,2,2,0
231,2,5,-1,-1,-1,-1,-1,-1,-2,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
232,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
233,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
234,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
235,2,5,-1,-1,-1,-1,-1,-1,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
236,2,4,4,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,1
237,2,5,2,2,2,2,2,2,2,2,1,2,2,2,0.0,0.0,2,2,2,2,0
238,2,5,0,-1,-1,-1,-1,2,0,-1,0,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
239,2,5,-1,0,0,0,0,-1,-1,0,-2,0,0,0,0.0,0.0,0,0,0,0,1
240,2,6,0,0,0,0,0,0,-2,0,0,0,0,0,0.0,0.0,0,0,0,0,0
241,2,6,2,0,0,0,0,0,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,1
242,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
243,1,5,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
244,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
245,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
246,2,5,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0,0,0,0,1
247,2,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
248,2,6,-1,0,0,0,0,-2,-2,0,-2,0,0,0,0.0,0.0,0,0,0,0,0
249,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
250,1,6,-1,-1,-1,-1,-1,-2,-2,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
251,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
252,2,6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.0,0.0,-1,-1,-1,-1,0
253,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
254,1,6,3,0,0,0,0,0,-1,0,-1,0,0,0,0.0,0.0,0,0,0,0,0
255,1,6,0,-2,-2,-2,-2,-2,-2,-2,0,-2,-2,-2,0.0,0.0,-2,-2,-2,-2,0
256,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0
257,1,5,2,2,2,2,2,2,2,2,2,2,2,2,0.0,0.0,2,2,2,2,1
258,2,5,0,2,2,2,2,0,0,2,0,2,2,2,0.0,0.0,2,2,2,2,0
